VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),ATOSA.CLOST.REPRO.CO,edad,SANGRADO.BRUCEIOSIS,Status
2041,032 010006502041,2025-09-24,09:54:32,,Nueva etiqu.:2041,,,,Yes,4d,Yes,
2042,032 010006502042,2025-09-24,09:55:02,,Nueva etiqu.:2042,,,,Yes,4d,Yes,
2043,032 010006502043,2025-09-24,09:57:18,,Nueva etiqu.:2043,,,,Yes,4d,Yes,
2044,032 010006502044,2025-09-24,09:58:39,,Nueva etiqu.:2044,,,,Yes,4d,Yes,
2045,032 010006502045,2025-09-24,09:59:03,,Nueva etiqu.:2045,,,,Yes,4d,Yes,
2046,032 010006502046,2025-09-24,09:59:38,,Nueva etiqu.:2046,,,,Yes,4d,Yes,
2047,032 010006502047,2025-09-24,10:00:15,,Nueva etiqu.:2047,,,,Yes,4d,Yes,
2048,032 010006502048,2025-09-24,10:01:18,,Nueva etiqu.:2048,,,,Yes,4d,Yes,
2049,032 010006502049,2025-09-24,10:01:44,,Nueva etiqu.:2049,,,,Yes,4d,Yes,
2050,032 010006502050,2025-09-24,10:06:27,,Nueva etiqu.:2050,,,,Yes,4d,Yes,
2051,032 010006502051,2025-09-24,10:08:02,,Nueva etiqu.:2051,,,,Yes,4d,Yes,
2052,032 010006502052,2025-09-24,10:08:32,,Nueva etiqu.:2052,,,,Yes,4d,Yes,
2053,032 010006502053,2025-09-24,10:09:12,,Nueva etiqu.:2053,,,,Yes,4d,Yes,
2054,032 010006502054,2025-09-24,10:09:57,,Nueva etiqu.:2054,,,,Yes,4d,Yes,
2055,032 010006502055,2025-09-24,10:10:58,,Nueva etiqu.:2055,,,,Yes,4d,Yes,
2056,032 010006502056,2025-09-24,10:11:27,,Nueva etiqu.:2056,,,,Yes,4d,Yes,
2057,032 010006502057,2025-09-24,10:11:57,,Nueva etiqu.:2057,,,,Yes,4d,Yes,
2058,032 010006502058,2025-09-24,10:13:12,,Nueva etiqu.:2058,,,,Yes,4d,Yes,
2059,032 010006502059,2025-09-24,10:15:45,,Nueva etiqu.:2059,,,,Yes,4d,Yes,
2060,032 010006502060,2025-09-24,10:16:18,,Nueva etiqu.:2060,,,,Yes,4d,Yes,
2061,032 010006502061,2025-09-24,10:17:15,,Nueva etiqu.:2061,,,,Yes,4d,Yes,
2062,032 010006502062,2025-09-24,10:17:42,,Nueva etiqu.:2062,,,,Yes,4d,Yes,
2063,032 010006502063,2025-09-24,10:18:53,,Nueva etiqu.:2063,,,,Yes,4d,Yes,
2064,032 010006502064,2025-09-24,10:19:19,,Nueva etiqu.:2064,,,,Yes,4d,Yes,
2065,032 010006502065,2025-09-24,10:20:25,,Nueva etiqu.:2065,,,,Yes,4d,Yes,
2066,032 010006502066,2025-09-24,10:23:39,,Nueva etiqu.:2066,,,,Yes,4d,Yes,
2067,032 010006502067,2025-09-24,10:24:30,,Nueva etiqu.:2067,,,,Yes,4d,Yes,
2068,032 010006502068,2025-09-24,10:25:02,,Nueva etiqu.:2068,,,,Yes,4d,Yes,
2069,032 010006502069,2025-09-24,10:25:50,,Nueva etiqu.:2069,,,,Yes,4d,Yes,
2070,032 010006502070,2025-09-24,10:26:50,,Nueva etiqu.:2070,,,,Yes,4d,Yes,
2071,032 010006502071,2025-09-24,10:27:55,,Nueva etiqu.:2071,,,,Yes,4d,Yes,
2072,032 010006502072,2025-09-24,10:28:35,,Nueva etiqu.:2072,,,,Yes,4d,Yes,
2073,032 010006502073,2025-09-24,10:31:54,,Nueva etiqu.:2073,,,,Yes,4d,Yes,
2074,032 010006502074,2025-09-24,10:32:31,,Nueva etiqu.:2074,,,,Yes,4d,Yes,
2075,032 010006502075,2025-09-24,10:33:20,,Nueva etiqu.:2075,,,,Yes,4d,Yes,
2076,032 010006502076,2025-09-24,10:34:47,,Nueva etiqu.:2076,,,,Yes,4d,Yes,
