VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),Status,VENTA
1739,032 010006501739,2025-06-03,10:13:16,,,,,,,No
1746,032 010006501746,2025-06-03,09:40:55,,,,,,,No
1753,032 010006501753,2025-06-03,10:16:47,,,,,,,No
1756,032 010006501756,2025-06-03,09:48:20,,,,,,,No
1763,032 010006501763,2025-06-03,09:47:13,,,,,,,No
1768,032 010006501768,2025-06-03,09:33:30,,,,,,,No
1772,032 010006501772,2025-06-03,10:16:19,,,,,,,No
1774,032 010006501774,2025-06-03,09:38:33,,,,,,,No
1787,032 010006501787,2025-06-03,09:26:46,,,,,,,No
1790,032 010006501790,2025-06-03,09:21:44,,,,,,,No
1791,032 010006501791,2025-06-03,09:25:13,,,,,,,No
1798,032 010006501798,2025-06-03,09:55:14,,,,,,,No
1805,032 010006501805,2025-06-03,09:20:45,,,,,,,No
1814,032 010006501814,2025-06-03,09:52:30,,,,,,,No
1818,032 010006501818,2025-06-03,09:56:01,,,,,,,No

 ,Total Head,157
 ,Total Weight,--.--
 ,Average Weight,--.--
 ,Minimum Weight,--.--
 ,Maximum Weight,--.--
 ,ADG,--.--
