VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),ATOSA.CLOST.REPRO.CO,Condition,Dam Vid,Dam Eid,edad,GESTACION,Status
1788,032 010006501788,2025-05-02,13:12:59,,Nueva etiqu.:1788,,,,Yes,4,,,MD,CABEZA,
1789,032 010006501789,2025-05-02,13:14:00,,Nueva etiqu.:1789,,,,Yes,4,,,1/4D,cuerpo,
1792,032 010006501792,2025-05-02,13:17:36,,Nueva etiqu.:1792,,,,Yes,4,,,bll,cuerpo,
1793,032 010006501793,2025-05-02,13:18:51,,Nueva etiqu.:1793,,,,Yes,4,,,MD,CABEZA,
1794,032 010006501794,2025-05-02,13:19:28,,Nueva etiqu.:1794,,,,Yes,4,,,MD,CABEZA,
1795,032 010006501795,2025-05-02,13:20:19,,Nueva etiqu.:1795,,,,Yes,4,,,MD,CABEZA,
1796,032 010006501796,2025-05-02,13:20:53,,Nueva etiqu.:1796,,,,Yes,4,,,1/4D,cuerpo,
1797,032 010006501797,2025-05-02,13:21:39,,Nueva etiqu.:1797,,,,Yes,4,,,MD,CABEZA,
1800,032 010006501800,2025-05-02,13:25:24,,Nueva etiqu.:1800,,,,Yes,4,,,MD,CABEZA,
1801,032 010006501801,2025-05-02,13:25:57,,Nueva etiqu.:1801,,,,Yes,4,,,MD,CABEZA,
1802,032 010006501802,2025-05-02,13:26:46,,Nueva etiqu.:1802,,,,Yes,4,,,1/4D,CABEZA,
1803,032 010006501803,2025-05-02,13:27:21,,Nueva etiqu.:1803,,,,Yes,4,,,MD,CABEZA,
1804,032 010006501804,2025-05-02,13:30:02,,Nueva etiqu.:1804,,,,Yes,4,,,1/4D,CABEZA,
1806,032 010006501806,2025-05-02,13:31:52,,Nueva etiqu.:1806,,,,Yes,4,,,6d,CABEZA,
1807,032 010006501807,2025-05-02,13:32:34,,Nueva etiqu.:1807,,,,Yes,4,,,1/4D,CABEZA,
1808,032 010006501808,2025-05-02,13:33:20,,Nueva etiqu.:1808,,,,Yes,4,,,MD,CABEZA,
1810,032 010006501810,2025-05-02,13:37:33,,Nueva etiqu.:1810,,,,Yes,5,,,1/4D,CABEZA,
1811,032 010006501811,2025-05-02,13:38:16,,Nueva etiqu.:1811,,,,Yes,4,,,bll,CABEZA,
1812,032 010006501812,2025-05-02,13:38:54,,Nueva etiqu.:1812,,,,Yes,4,,,bll,cuerpo,
1813,032 010006501813,2025-05-02,13:39:46,,Nueva etiqu.:1813,,,,Yes,4,,,MD,CABEZA,
1815,032 010006501815,2025-05-02,13:41:22,,Nueva etiqu.:1815,,,,No,4,,,MD,CABEZA,
1817,032 010006501817,2025-05-02,13:46:13,,Nueva etiqu.:1817,,,,Yes,4,,,bll,CABEZA,
1819,032 010006501819,2025-05-02,13:48:15,,Nueva etiqu.:1819,,,,Yes,4,,,MD,CABEZA,
1545,032 010006501545,2025-05-02,07:36:41,,Nueva etiqu.:1545,,,,Yes,4,,,bll,VACIA,
1548,032 010006501548,2025-05-02,07:39:06,,Nueva etiqu.:1548,,,,Yes,3,,,bll,VACIA,
1562,032 010006501562,2025-05-02,07:55:23,,Nueva etiqu.:1562,,,,Yes,3,,,4d,VACIA,
1570,032 010006501570,2025-05-02,08:07:43,,Nueva etiqu.:1570,,,,Yes,3,,,bll,VACIA,
1574,032 010006501574,2025-05-02,08:12:26,,Nueva etiqu.:1574,,,,Yes,4,,,bll,VACIA,
1576,032 010006501576,2025-05-02,08:15:20,,Nueva etiqu.:1576,,,,Yes,4,,,MD,VACIA,
1580,032 010006501580,2025-05-02,08:21:53,,Nueva etiqu.:1580,,,,Yes,3,,,bll,VACIA,
1586,032 010006501586,2025-05-02,08:28:33,,Nueva etiqu.:1586,,,,Yes,4,,,6d,VACIA,
1590,032 010006501590,2025-05-02,08:33:51,,Nueva etiqu.:1590,,,,Yes,4,,,4d,VACIA,
1597,032 010006501597,2025-05-02,08:44:04,,Nueva etiqu.:1597,,,,Yes,3,,,MD,VACIA,
1605,032 010006501605,2025-05-02,08:54:19,,Nueva etiqu.:1605,,,,Yes,3,,,bll,VACIA,
1611,032 010006501611,2025-05-02,09:02:17,,Nueva etiqu.:1611,,,,Yes,4,,,bll,VACIA,
1620,032 010006501620,2025-05-02,09:12:05,,Nueva etiqu.:1620,,,,Yes,3,,,bll,VACIA,
1622,032 010006501622,2025-05-02,09:15:50,,Nueva etiqu.:1622,,,,Yes,3,,,bll,VACIA,
1638,032 010006501638,2025-05-02,09:41:35,,Nueva etiqu.:1638,,,,Yes,4,,,6d,VACIA,
1646,032 010006501646,2025-05-02,09:51:50,,Nueva etiqu.:1646,,,,Yes,4,,,MD,VACIA,
1693,032 010006501693,2025-05-02,11:07:56,,Nueva etiqu.:1693,,,,No,3,,,bll,VACIA,
1699,032 010006501699,2025-05-02,11:15:19,,Nueva etiqu.:1699,,,,Yes,3,,,6d,VACIA,
1716,032 010006501716,2025-05-02,11:36:27,,Nueva etiqu.:1716,,,,Yes,3,,,bll,VACIA,
1720,032 010006501720,2025-05-02,11:40:45,,Nueva etiqu.:1720,,,,Yes,3,,,6d,VACIA,
1734,032 010006501734,2025-05-02,11:55:48,,Nueva etiqu.:1734,,,,Yes,4,,,6d,VACIA,
1742,032 010006501742,2025-05-02,12:09:08,,Nueva etiqu.:1742,,,,Yes,3,,,bll,VACIA,
1751,032 010006501751,2025-05-02,12:21:27,,Nueva etiqu.:1751,,,,Yes,4,,,bll,VACIA,
1761,032 010006501761,2025-05-02,12:35:30,,Nueva etiqu.:1761,,,,No,3,,,6d,VACIA,
1769,032 010006501769,2025-05-02,12:47:46,,Nueva etiqu.:1769,,,,Yes,3,,,bll,VACIA,
1777,032 010006501777,2025-05-02,12:56:24,,Nueva etiqu.:1777,,,,Yes,4,,,bll,VACIA,
1783,032 010006501783,2025-05-02,13:03:14,,Nueva etiqu.:1783,,,,Yes,3,,,MD,VACIA,
1542,032 010006501542,2025-05-02,07:33:00,,Nueva etiqu.:1542,,,,Yes,3,,,CUT,CABEZA,
1553,032 010006501553,2025-05-02,07:44:49,,Nueva etiqu.:1553,,,,Yes,3,,,CUT,CABEZA,
1564,032 010006501564,2025-05-02,07:57:21,,Nueva etiqu.:1564,,,,Yes,4,,,CUT,CABEZA,
1569,032 010006501569,2025-05-02,08:07:09,,Nueva etiqu.:1569,,,,Yes,3,,,CUT,cuerpo,
1573,032 010006501573,2025-05-02,08:11:37,,Nueva etiqu.:1573,,,,Yes,3,,,CUT,CABEZA,
1584,032 010006501584,2025-05-02,08:26:57,,Nueva etiqu.:1584,,,,Yes,3,,,CUT,CABEZA,
1606,032 010006501606,2025-05-02,08:54:59,,Nueva etiqu.:1606,,,,Yes,4,,,CUT,cuerpo,
1628,032 010006501628,2025-05-02,09:26:54,,Nueva etiqu.:1628,,,,Yes,4,,,CUT,CABEZA,
1647,032 010006501647,2025-05-02,09:52:41,,Nueva etiqu.:1647,,,,Yes,4,,,CUT,CABEZA,
1657,032 010006501657,2025-05-02,10:08:24,,Nueva etiqu.:1657,,,,Yes,3,,,CUT,cuerpo,
1658,032 010006501658,2025-05-02,10:09:12,,Nueva etiqu.:1658,,,,Yes,3,,,CUT,CABEZA,
1662,032 010006501662,2025-05-02,10:17:15,,Nueva etiqu.:1662,,,,Yes,4,,,CUT,CABEZA,
1664,032 010006501664,2025-05-02,10:19:41,,Nueva etiqu.:1664,,,,No,4,,,CUT,CABEZA,
1692,032 010006501692,2025-05-02,11:06:54,,Nueva etiqu.:1692,,,,Yes,4,,,CUT,CABEZA,
1694,032 010006501694,2025-05-02,11:08:41,,Nueva etiqu.:1694,,,,Yes,3,,,CUT,cuerpo,
1696,032 010006501696,2025-05-02,11:12:50,,Nueva etiqu.:1696,,,,Yes,4,,,CUT,CABEZA,
1705,032 010006501705,2025-05-02,11:21:01,,Nueva etiqu.:1705,,,,Yes,4,,,CUT,CABEZA,
1727,032 010006501727,2025-05-02,11:49:13,,Nueva etiqu.:1727,,,,Yes,4,,,CUT,cuerpo,
1739,032 010006501739,2025-05-02,12:04:43,,Nueva etiqu.:1739,,,,Yes,4,,,CUT,CABEZA,
1746,032 010006501746,2025-05-02,12:12:41,,Nueva etiqu.:1746,,,,Yes,4,,,CUT,cuerpo,
1753,032 010006501753,2025-05-02,12:24:17,,Nueva etiqu.:1753,,,,Yes,4,,,CUT,CABEZA,
1756,032 010006501756,2025-05-02,12:31:25,,Nueva etiqu.:1756,,,,Yes,4,,,CUT,cuerpo,
1763,032 010006501763,2025-05-02,12:39:20,,Nueva etiqu.:1763,,,,Yes,3,,,CUT,cuerpo,
1768,032 010006501768,2025-05-02,12:43:47,,Nueva etiqu.:1768,,,,Yes,3,,,CUT,cuerpo,
1772,032 010006501772,2025-05-02,12:50:10,,Nueva etiqu.:1772,,,,Yes,4,,,CUT,CABEZA,
1774,032 010006501774,2025-05-02,12:52:21,,Nueva etiqu.:1774,,,,Yes,4,,,CUT,cuerpo,
1787,032 010006501787,2025-05-02,13:12:18,,Nueva etiqu.:1787,,,,Yes,3,,,CUT,cuerpo,
1790,032 010006501790,2025-05-02,13:14:32,,Nueva etiqu.:1790,,,,Yes,4,,,CUT,CABEZA,
1791,032 010006501791,2025-05-02,13:15:27,,Nueva etiqu.:1791,,,,Yes,4,,,CUT,cuerpo,
1798,032 010006501798,2025-05-02,13:23:11,,Nueva etiqu.:1798,,,,Yes,4,,,CUT,CABEZA,
1805,032 010006501805,2025-05-02,13:30:26,,Nueva etiqu.:1805,,,,Yes,4,,,CUT,CABEZA,
1814,032 010006501814,2025-05-02,13:40:18,,Nueva etiqu.:1814,,,,Yes,4,,,CUT,cuerpo,
1818,032 010006501818,2025-05-02,13:47:01,,Nueva etiqu.:1818,,,,Yes,4,,,CUT,cuerpo,

 ,Total Head,278
 ,Total Weight,--.--
 ,Average Weight,--.--
 ,Minimum Weight,--.--
 ,Maximum Weight,--.--
 ,ADG,--.--
